table_name,column_name,data_type,is_nullable,column_default
admin_requests,id,uuid,NO,gen_random_uuid()
admin_requests,user_id,uuid,YES,null
admin_requests,status,text,YES,'pending'::text
admin_requests,requested_at,timestamp with time zone,YES,now()
admin_requests,updated_at,timestamp with time zone,YES,now()
admin_requests,company_name,text,NO,null
admin_requests,company_details,jsonb,YES,'{}'::jsonb
admin_requests,rejection_reason,text,YES,null
chat_messages,id,uuid,NO,gen_random_uuid()
chat_messages,session_id,uuid,NO,null
chat_messages,content,text,NO,null
chat_messages,sender,text,NO,null
chat_messages,image_url,text,YES,null
chat_messages,timestamp,timestamp with time zone,YES,now()
chat_messages,is_streaming,boolean,YES,false
chat_sessions,id,uuid,NO,gen_random_uuid()
chat_sessions,user_id,uuid,NO,null
chat_sessions,project_id,text,YES,null
chat_sessions,title,text,NO,null
chat_sessions,created_at,timestamp with time zone,YES,now()
chat_sessions,last_updated_at,timestamp with time zone,YES,now()
cleansing_assignments,id,uuid,NO,gen_random_uuid()
cleansing_assignments,cleansing_id,text,YES,null
cleansing_assignments,user_id,uuid,YES,null
cleansing_assignments,user_name,text,YES,null
cleansing_assignments,user_email,text,YES,null
cleansing_assignments,role,text,YES,null
cleansing_assignments,node_id,text,YES,null
cleansing_assignments,node_order,integer,YES,null
cleansing_assignments,created_at,timestamp with time zone,YES,now()
cleansing_comments,id,uuid,NO,gen_random_uuid()
cleansing_comments,cleansing_id,text,YES,null
cleansing_comments,user_id,uuid,YES,null
cleansing_comments,user_name,text,YES,null
cleansing_comments,content,text,YES,null
cleansing_comments,created_at,timestamp with time zone,YES,now()
cleansing_entries,id,text,NO,null
cleansing_entries,date,date,YES,null
cleansing_entries,project,text,YES,null
cleansing_entries,project_id,text,YES,null
cleansing_entries,inspector,text,YES,null
cleansing_entries,area,text,YES,null
cleansing_entries,cleanliness_score,integer,YES,null
cleansing_entries,cleaning_status,text,YES,'pending'::text
cleansing_entries,areas_cleaned,text,YES,null
cleansing_entries,waste_removed,text,YES,null
cleansing_entries,notes,text,YES,null
cleansing_entries,form_data,jsonb,YES,null
cleansing_entries,created_by,uuid,YES,null
cleansing_entries,created_at,timestamp with time zone,YES,now()
cleansing_entries,updated_at,timestamp with time zone,YES,null
cleansing_entries,completed_at,timestamp with time zone,YES,null
cleansing_entries,status,text,YES,'pending'::text
cleansing_entries,current_node_index,integer,YES,1
cleansing_entries,current_active_node,text,YES,null
cleansing_workflow_history,id,uuid,NO,gen_random_uuid()
cleansing_workflow_history,cleansing_id,text,YES,null
cleansing_workflow_history,action,text,YES,null
cleansing_workflow_history,actor_id,uuid,YES,null
cleansing_workflow_history,actor_name,text,YES,null
cleansing_workflow_history,previous_status,text,YES,null
cleansing_workflow_history,new_status,text,YES,null
cleansing_workflow_history,comments,text,YES,null
cleansing_workflow_history,created_at,timestamp with time zone,YES,now()
cleansing_workflow_nodes,id,uuid,NO,gen_random_uuid()
cleansing_workflow_nodes,cleansing_id,text,YES,null
cleansing_workflow_nodes,node_id,text,YES,null
cleansing_workflow_nodes,node_type,text,YES,null
cleansing_workflow_nodes,node_name,text,YES,null
cleansing_workflow_nodes,executor_id,uuid,YES,null
cleansing_workflow_nodes,executor_name,text,YES,null
cleansing_workflow_nodes,node_order,integer,YES,null
cleansing_workflow_nodes,status,text,YES,'pending'::text
cleansing_workflow_nodes,edit_access,boolean,YES,true
cleansing_workflow_nodes,settings,jsonb,YES,'{}'::jsonb
cleansing_workflow_nodes,expire_time,timestamp with time zone,YES,null
cleansing_workflow_nodes,expire_duration,integer,YES,null
cleansing_workflow_nodes,created_at,timestamp with time zone,YES,now()
cleansing_workflow_nodes,updated_at,timestamp with time zone,YES,null
companies,id,uuid,NO,gen_random_uuid()
companies,name,text,NO,null
companies,details,jsonb,YES,'{}'::jsonb
companies,admin_id,uuid,YES,null
companies,created_at,timestamp with time zone,YES,now()
companies,updated_at,timestamp with time zone,YES,now()
companies,code,text,YES,null
companies,created_by,uuid,YES,null
company_join_requests,id,uuid,NO,gen_random_uuid()
company_join_requests,company_id,uuid,NO,null
company_join_requests,user_id,uuid,NO,null
company_join_requests,status,text,NO,'pending'::text
company_join_requests,created_at,timestamp with time zone,YES,now()
company_join_requests,updated_at,timestamp with time zone,YES,now()
company_members,id,uuid,NO,gen_random_uuid()
company_members,company_id,uuid,NO,null
company_members,user_id,uuid,NO,null
company_members,role,text,NO,'member'::text
company_members,joined_at,timestamp with time zone,YES,now()
diary_assignments,id,uuid,NO,uuid_generate_v4()
diary_assignments,diary_id,text,YES,null
diary_assignments,user_id,uuid,YES,null
diary_assignments,user_name,text,YES,null
diary_assignments,user_email,text,YES,null
diary_assignments,role,text,YES,'cc'::text
diary_assignments,node_id,text,YES,null
diary_assignments,node_order,integer,YES,null
diary_assignments,created_at,timestamp with time zone,YES,now()
diary_comments,id,uuid,NO,uuid_generate_v4()
diary_comments,diary_id,text,YES,null
diary_comments,user_id,uuid,YES,null
diary_comments,user_name,text,YES,null
diary_comments,comment,text,YES,null
diary_comments,action,text,YES,null
diary_comments,created_at,timestamp with time zone,YES,now()
diary_entries,id,text,NO,null
diary_entries,date,date,YES,null
diary_entries,project,text,YES,null
diary_entries,project_id,text,YES,null
diary_entries,author,text,YES,null
diary_entries,weather,text,YES,null
diary_entries,temperature,text,YES,null
diary_entries,work_completed,text,YES,null
diary_entries,incidents_reported,text,YES,null
diary_entries,materials_delivered,text,YES,null
diary_entries,notes,text,YES,null
